id,document_id,page_number,sheet_number,sheet_name,extracted_text,thumbnail,has_takeoffs,takeoff_count,is_visible,ocr_processed,titleblock_config,created_at,updated_at
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-44,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,44,,Exterior EIevations,,,false,0,true,false,,2025-10-01 14:13:32.507+00,2025-10-02 16:51:57.964+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-45,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,45,,Exterior EIevations,,,false,0,true,false,,2025-10-01 14:13:32.652+00,2025-10-02 16:51:58.142+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-46,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,46,- AG.OI,BuiIding Section,,,false,0,true,false,,2025-10-01 14:13:32.795+00,2025-10-02 16:51:58.346+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-47,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,47,,BuiIding Section,,,false,0,true,false,,2025-10-01 14:13:32.947+00,2025-10-02 16:51:58.493+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-48,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,48,- AG.O3,BuiIding Section,,,false,0,true,false,,2025-10-01 14:13:33.097+00,2025-10-02 16:51:58.645+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-49,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,49,- AG.O4,BuiIding Section,,,false,0,true,false,,2025-10-01 14:13:33.263+00,2025-10-02 16:51:58.803+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-5,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,5,umber :,raII Safety PIan,,,false,0,true,false,,2025-10-01 14:13:26.323+00,2025-10-02 16:51:50.08+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-50,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,50,,BuiIding Section,,,false,0,true,false,,2025-10-01 14:13:33.418+00,2025-10-02 16:51:58.951+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-51,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,51,umber :,sh ScheduIe,,,false,0,true,false,,2025-10-01 14:13:33.558+00,2025-10-02 16:51:59.111+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-52,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,52,AR II,GIazing ScheduIe,,,false,0,true,false,,2025-10-01 14:13:33.704+00,2025-10-02 16:51:59.273+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-53,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,53,umber :,)r eduIe,,,false,0,true,false,,2025-10-01 14:13:34.772+00,2025-10-02 16:51:59.444+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-54,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,54,umber :,")r dware, eduIe & es",,,false,0,true,false,,2025-10-01 14:13:34.911+00,2025-10-02 16:51:59.603+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-55,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,55,,TypicaI Site DetaiIs,,,false,0,true,false,,2025-10-01 14:13:35.079+00,2025-10-02 16:51:59.754+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-56,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,56,~~ Ag.OZ,EnIarged Patio TreIIis,,,false,0,true,false,,2025-10-01 14:13:35.229+00,2025-10-02 16:51:59.902+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-57,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,57,AO II,[ypicaI Fire Penetration DetaiIs,,,false,0,true,false,,2025-10-01 14:13:35.449+00,2025-10-02 16:52:00.064+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-58,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,58,AO IZ,[ypicaI Fire Extinguisher Cabinets DetaiIs,,,false,0,true,false,,2025-10-01 14:13:35.646+00,2025-10-02 16:52:00.218+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-59,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,59,Ag.ZI,TypicaI WaII Types & A5embIy DetaiIs,,,false,0,true,false,,2025-10-01 14:13:35.788+00,2025-10-02 16:52:00.37+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-6,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,6,~~ AI.OI,OveraII Life Safety PIan - Ground FI0r,,,false,0,true,false,,2025-10-01 14:13:26.484+00,2025-10-02 16:51:50.254+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-60,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,60,Ag.ZZ,IypicaI WaII Types & A5embIy DetaiI,,,false,0,true,false,,2025-10-01 14:13:35.952+00,2025-10-02 16:52:00.549+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-61,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,61,Ag.Z3,TypicaI HorizontaI Gypsum Duct EncIosure A5embIy Detai,,,false,0,true,false,,2025-10-01 14:13:36.094+00,2025-10-02 16:52:00.731+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-62,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,62,Ag.Z4,IypicaI WaII Types & A5embIy DetaiI,,,false,0,true,false,,2025-10-01 14:13:36.25+00,2025-10-02 16:52:00.879+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-63,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,63,AO Z4,[ypicaI CeiIing DetaiIs,,,false,0,true,false,,2025-10-01 14:13:36.411+00,2025-10-02 16:52:01.036+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-64,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,64,AO 4I,['ypicaI D0r & GIazing DetaiIs,,,false,0,true,false,,2025-10-01 14:13:36.562+00,2025-10-02 16:52:04.293+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-65,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,65,,TypicaI Guestr0m DetaiIs - BIocking,,,false,0,true,false,,2025-10-01 14:13:36.713+00,2025-10-02 16:52:04.461+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-66,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,66,AO GI,'ypicaI tair DetaiIs,,,false,0,true,false,,2025-10-01 14:13:36.86+00,2025-10-02 16:52:04.622+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-67,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,67,AQ TI4,[ypicaI MisceIIaneous DetaiIs,,,false,0,true,false,,2025-10-01 14:13:37.008+00,2025-10-02 16:52:04.786+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-68,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,68,AO B4,['ypicaI R0fing DetaiIs,,,false,0,true,false,,2025-10-01 14:13:37.163+00,2025-10-02 16:52:04.987+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-69,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,69,,"(Required Vendor) DaItiIe Nancy Bums, TeI: 4O4.GGI.TIII",,,false,0,true,false,,2025-10-01 14:13:37.309+00,2025-10-02 16:52:05.146+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-7,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,7,,OveraII Life Safety PIan - Second FI0r,,,false,0,true,false,,2025-10-01 14:13:26.637+00,2025-10-02 16:51:50.405+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-70,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,70,,"Armstrong FI0ring Scott J. Wert TeI: SI3.STI.OBIT emaiI: vert@armstrongfI0ring.com, Christina Dixon",,,false,0,true,false,,2025-10-01 14:13:37.461+00,2025-10-02 16:52:05.303+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-71,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,71,,"(Required Vendor) DaItiIe Nancy Bums, TeI: 4O4.GGI.TIII emaiI: Pp ""pe TX pp",,,false,0,true,false,,2025-10-01 14:13:37.618+00,2025-10-02 16:52:05.479+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-72,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,72,,nifer.suIIivan@formica.co m (Required vendor) Formica,,,false,0,true,false,,2025-10-01 14:13:37.775+00,2025-10-02 16:52:05.641+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-73,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,73,,,,,false,0,true,false,,2025-10-01 14:13:37.924+00,2025-10-02 16:52:05.812+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-74,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,74,,Samsung contact: EIizbeth Amorese TeI: gT3.S43.SOT4 emaiI: amorese@sea.samsung.com,,,false,0,true,false,,2025-10-01 14:13:38.07+00,2025-10-02 16:52:05.965+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-75,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,75,,"(Required vendor) Project Light Jemi CoIIier, TeI: 33O.SG4.gOI4 mi@projectIightinc.com",,,false,0,true,false,,2025-10-01 14:13:38.259+00,2025-10-02 16:52:06.126+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-76,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,76,,"Benjamin M0re Bethamie Weinwitz, TeI: ZOI.g4g.GZ3Z thamie.weinowitz@benja Benjamin M0re Bethamie Weinwitz, TeI: ZOI g4g GZ3Z",,,false,0,true,false,,2025-10-01 14:13:38.41+00,2025-10-02 16:52:06.3+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-77,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,77,,"thamie.weinowitz@benja minm0re.com Benjamin M0re Bethamie Weinwitz, TeI: ZOI.g4g.GZ3Z thamie weinawitz@ henia",,,false,0,true,false,,2025-10-01 14:13:38.563+00,2025-10-02 16:52:06.463+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-78,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,78,,"LG Hausys, TeI:GIS.4ZG.ST4g, aiI: maIIen@Ighausys.com",,,false,0,true,false,,2025-10-01 14:13:38.715+00,2025-10-02 16:52:06.623+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-79,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,79,,,,,false,0,true,false,,2025-10-01 14:13:38.862+00,2025-10-02 16:52:06.796+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-8,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,8,~~ AI.O3,OveraII Life Safety PIan FI0rs Third thru Sixth,,,false,0,true,false,,2025-10-01 14:13:26.789+00,2025-10-02 16:51:50.567+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-80,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,80,,"Miami-Dade County Stamps, Reviews, ApprovaIs, & Inspections",,,false,0,true,false,,2025-10-01 14:13:39.011+00,2025-10-02 16:52:06.982+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-9,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,9,,OveraII Life Safety PIan - R0f LeveI,,,false,0,true,false,,2025-10-01 14:13:26.956+00,2025-10-02 16:51:50.716+00
test-sheet,test-document,1,,Updated Sheet Name,,,false,0,true,false,,2025-09-24 00:49:36.823+00,2025-09-24 00:49:43.326+00
